GlobalEventID	Day	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_Fullname	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_Fullname	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_Fullname	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	Dateadded	Sourceurl

903944508	20190205	201902	2019	2019.0959											GOV	GOVERNMENT						GOV			1	046	046	04	1	7.0	10	1	10	0.625	0								4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20200205143000	https://www.thesundaily.my/business/petronas-dagangan-no-plans-to-stop-ngv-service-HL1973977
903944509	20190205	201902	2019	2019.0959	CHN	CHINA	CHN								GOV	GOVERNMENT						GOV			1	0311	031	03	1	5.2	4	1	4	-5.77777777777778	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	United States	US	US		39.828175	-98.5795	US	20200205143000	https://www.arabianbusiness.com/politics-economics/439396-us-trade-deficit-narrow-for-first-time-since-2013
903944510	20190205	201902	2019	2019.0959	CHN	CHINA	CHN								GOV	GOVERNMENT						GOV			1	0311	031	03	1	5.2	1	1	1	-5.77777777777778	1	United States	US	US		39.828175	-98.5795	US	1	China	CH	CH		35	105	CH	1	United States	US	US		39.828175	-98.5795	US	20200205143000	https://www.arabianbusiness.com/politics-economics/439396-us-trade-deficit-narrow-for-first-time-since-2013
903944511	20190205	201902	2019	2019.0959	COP	POLICE						COP			GOV	GOVERNMENT						GOV			1	111	111	11	3	-2.0	6	1	6	-2.97619047619048	4	Kozhikode, Kerala, India	IN	IN13	17703	11.25	75.7667	-2101691	4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	20200205143000	https://www.prokerala.com/news/articles/a1004732.html
903944512	20190205	201902	2019	2019.0959	COP	POLICE						COP			GOV	GOVERNMENT						GOV			1	111	111	11	3	-2.0	2	1	2	-2.97619047619048	4	Kozhikode, Kerala, India	IN	IN13	17703	11.25	75.7667	-2101691	4	Jammu, Jammu and Kashmir, India	IN	IN12	72851	32.7333	74.8667	-2098228	4	Kozhikode, Kerala, India	IN	IN13	17703	11.25	75.7667	-2101691	20200205143000	https://www.prokerala.com/news/articles/a1004732.html
903944513	20190205	201902	2019	2019.0959	COP	POLICE						COP			GOV	GOVERNMENT						GOV			1	111	111	11	3	-2.0	2	1	2	-2.97619047619048	4	Kozhikode, Kerala, India	IN	IN13	17703	11.25	75.7667	-2101691	4	Kozhikode, Kerala, India	IN	IN13	17703	11.25	75.7667	-2101691	4	Kozhikode, Kerala, India	IN	IN13	17703	11.25	75.7667	-2101691	20200205143000	https://www.prokerala.com/news/articles/a1004732.html
903944514	20190205	201902	2019	2019.0959	GBR	LONDON	GBR																		0	051	051	05	1	3.4	5	1	5	3.84615384615385	4	Mao Chow, Hebei, China	CH	CH10	13083	38.8483	116.115	-1918053	0								4	Mao Chow, Hebei, China	CH	CH10	13083	38.8483	116.115	-1918053	20200205143000	https://www.standard.co.uk/go/london/restaurants/fay-maschler-restaurant-review-ampeli-fitzrovia-a4354016.html
903944515	20190205	201902	2019	2019.0959	GBR	LONDON	GBR																		0	051	051	05	1	3.4	2	1	2	3.84615384615385	1	Czech Republic	EZ	EZ		49.75	15	EZ	0								1	Czech Republic	EZ	EZ		49.75	15	EZ	20200205143000	https://www.standard.co.uk/go/london/restaurants/fay-maschler-restaurant-review-ampeli-fitzrovia-a4354016.html
903944516	20190205	201902	2019	2019.0959	GBRBUS	UNITED KINGDOM	GBR					BUS													1	192	192	19	4	-9.5	4	1	4	1.14285714285714	1	United Kingdom	UK	UK		54	-4	UK	0								1	United Kingdom	UK	UK		54	-4	UK	20200205143000	https://www.eveningexpress.co.uk/fp/news/local/greggs-to-open-new-aberdeen-store-in-spring/
903944517	20190205	201902	2019	2019.0959	GOV	GOVERNMENT						GOV													1	046	046	04	1	7.0	10	1	10	0.625	4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	0								4	Kuala Lumpur, Kuala Lumpur, Malaysia	MY	MY14	18585	3.16667	101.7	-2403010	20200205143000	https://www.thesundaily.my/business/petronas-dagangan-no-plans-to-stop-ngv-service-HL1973977
903944518	20190205	201902	2019	2019.0959	GOV	GOVERNMENT						GOV			NPL	NEPAL	NPL								1	010	010	01	1	0.0	2	1	2	-2.12014134275619	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	1	Pakistan	PK	PK		30	70	PK	20200205143000	https://www.moneycontrol.com/news/business/economy/118-3-bn-received-in-remittances-since-2018-19-govt-4910611.html
