GlobalEventID	Day	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_Fullname	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_Fullname	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_Fullname	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	Dateadded	Sourceurl

903847422	20190205	201902	2019	2019.0959	AUS	AUSTRALIA	AUS								NZL	NEW ZEALAND	NZL								1	043	043	04	1	2.8	4	1	4	0.98765432098766	4	Timaru, New Zealand (general), New Zealand	NZ	NZ00	22392	-44.4	171.25	-1519719	4	Timaru, New Zealand (general), New Zealand	NZ	NZ00	22392	-44.4	171.25	-1519719	4	Timaru, New Zealand (general), New Zealand	NZ	NZ00	22392	-44.4	171.25	-1519719	20200205053000	https://www.msn.com/en-nz/news/other/the-bachelorettes-tavita-karika-opens-up-about-his-mums-mental-health-struggles/ar-BBZFdGi
903847423	20190205	201902	2019	2019.0959	AUS	AUSTRALIA	AUS								NZL	NEW ZEALAND	NZL								1	043	043	04	1	2.8	6	1	6	0.98765432098766	1	Australia	AS	AS		-25	135	AS	4	Timaru, New Zealand (general), New Zealand	NZ	NZ00	22392	-44.4	171.25	-1519719	4	Timaru, New Zealand (general), New Zealand	NZ	NZ00	22392	-44.4	171.25	-1519719	20200205053000	https://www.msn.com/en-nz/news/other/the-bachelorettes-tavita-karika-opens-up-about-his-mums-mental-health-struggles/ar-BBZFdGi
903847424	20190205	201902	2019	2019.0959	BUS	COMPANY						BUS													0	180	180	18	4	-9.0	10	1	10	-4.10276073619632	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	0								3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20200205053000	https://www.huffpost.com/entry/uber-reveals-sexual-assaults-during-rides_n_5de95bb3e4b00149f73da151
903847425	20190205	201902	2019	2019.0959	GHA	GHANA	GHA								EDU	SCHOOL						EDU			1	016	016	01	1	-2.0	2	1	2	-5.74712643678161	1	Ghana	GH	GH		8	-2	GH	1	Ghana	GH	GH		8	-2	GH	1	Ghana	GH	GH		8	-2	GH	20200205053000	https://www.echonews.com.au/news/scandal-plagued-private-schools-latest-drama1/3937221/
903847426	20190205	201902	2019	2019.0959	LAB	TRADE UNION						LAB													0	090	090	09	2	-2.0	5	1	5	-1.58045977011495	1	Turkey	TU	TU		39.059012	34.911546	TU	0								1	Turkey	TU	TU		39.059012	34.911546	TU	20200205053000	https://grist.org/politics/trump-state-of-the-unions-brief-environmental-interlude-more-oil-more-trees/
903847427	20190205	201902	2019	2019.0959	NZL	NEW ZEALAND	NZL								AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	2	1	2	0.98765432098766	4	Timaru, New Zealand (general), New Zealand	NZ	NZ00	22392	-44.4	171.25	-1519719	4	Timaru, New Zealand (general), New Zealand	NZ	NZ00	22392	-44.4	171.25	-1519719	4	Timaru, New Zealand (general), New Zealand	NZ	NZ00	22392	-44.4	171.25	-1519719	20200205053000	https://www.msn.com/en-nz/news/other/the-bachelorettes-tavita-karika-opens-up-about-his-mums-mental-health-struggles/ar-BBZFdGi
903847428	20190205	201902	2019	2019.0959	NZL	NEW ZEALAND	NZL								AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	2	1	2	0.98765432098766	4	Timaru, New Zealand (general), New Zealand	NZ	NZ00	22392	-44.4	171.25	-1519719	1	Australia	AS	AS		-25	135	AS	4	Timaru, New Zealand (general), New Zealand	NZ	NZ00	22392	-44.4	171.25	-1519719	20200205053000	https://www.msn.com/en-nz/news/other/the-bachelorettes-tavita-karika-opens-up-about-his-mums-mental-health-struggles/ar-BBZFdGi
903847429	20190205	201902	2019	2019.0959	NZL	NEW ZEALAND	NZL								AUS	AUSTRALIA	AUS								1	042	042	04	1	1.9	6	1	6	0.98765432098766	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	1	Australia	AS	AS		-25	135	AS	20200205053000	https://www.msn.com/en-nz/news/other/the-bachelorettes-tavita-karika-opens-up-about-his-mums-mental-health-struggles/ar-BBZFdGi
903847430	20190205	201902	2019	2019.0959	SPY	INTELLIGENCE COMMUNITY						SPY			RUS	RUSSIAN	RUS								0	010	010	01	1	0.0	2	1	2	-3.81471389645776	3	Des Moines, Iowa, United States	US	USIA	IA153	41.6005	-93.6091	465961	3	Des Moines, Iowa, United States	US	USIA		41.6005	-93.6091	465961	3	Des Moines, Iowa, United States	US	USIA		41.6005	-93.6091	465961	20200205053000	https://www.sfgate.com/news/article/Iowa-trouble-was-closer-to-home-than-foreign-15031037.php
903847431	20200106	202001	2020	2020.0164	CVL	RESIDENTS						CVL													1	036	036	03	1	4.0	2	1	2	0.67340067340067	3	Mcadenville, North Carolina, United States	US	USNC	NC071	35.2593	-81.0754	1021377	0								3	Mcadenville, North Carolina, United States	US	USNC	NC071	35.2593	-81.0754	1021377	20200205053000	https://www.huffpost.com/entry/mcadenville-north-carolina-christmas-town_n_5dfa6ab0e4b0eb2264d2e625
903847432	20200106	202001	2020	2020.0164	CVL	RESIDENTS						CVL			USA	UNITED STATES	USA								1	036	036	03	1	4.0	1	1	1	0.67340067340067	3	Mcadenville, North Carolina, United States	US	USNC	NC071	35.2593	-81.0754	1021377	3	Mcadenville, North Carolina, United States	US	USNC	NC071	35.2593	-81.0754	1021377	3	Mcadenville, North Carolina, United States	US	USNC	NC071	35.2593	-81.0754	1021377	20200205053000	https://www.huffpost.com/entry/mcadenville-north-carolina-christmas-town_n_5dfa6ab0e4b0eb2264d2e625
903847433	20200106	202001	2020	2020.0164	GOV	ATTORNEY GENERAL						GOV													0	012	012	01	1	-0.4	2	1	2	-2.90909090909091	3	Horry County, South Carolina, United States	US	USSC	SC051	33.9168	-78.9831	1248005	0								3	Horry County, South Carolina, United States	US	USSC		33.9168	-78.9831	1248005	20200205053000	https://www.myhorrynews.com/news/local/horry_county/horry-county-s-second-amendment-sanctuary-proposal-receives-initial-approval/article_24cd3644-47d3-11ea-9da8-cf6b32309261.html
903847434	20200106	202001	2020	2020.0164	GOV	ATTORNEY GENERAL						GOV			LEG	LEGISLATURE						LEG			1	020	020	02	1	3.0	10	1	10	-3.22580645161291	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	2	Wisconsin, United States	US	USWI		44.2563	-89.6385	WI	20200205053000	https://www.wbay.com/content/news/AG-Kaul-wants-action-on-bill-to-prevent-another-rape-kit-backlog-567576421.html
903847435	20200106	202001	2020	2020.0164	GOV	ATTORNEY GENERAL						GOV			USA	UNITED STATES	USA								0	012	012	01	1	-0.4	4	1	4	-2.90909090909091	3	City Of Columbia, South Carolina, United States	US	USSC	SC079	34.0364	-80.9025	2404107	3	City Of Columbia, South Carolina, United States	US	USSC		34.0364	-80.9025	2404107	3	City Of Columbia, South Carolina, United States	US	USSC		34.0364	-80.9025	2404107	20200205053000	https://www.myhorrynews.com/news/local/horry_county/horry-county-s-second-amendment-sanctuary-proposal-receives-initial-approval/article_24cd3644-47d3-11ea-9da8-cf6b32309261.html
903847436	20200106	202001	2020	2020.0164	MYS	KUALA LUMPUR	MYS																		1	190	190	19	4	-10.0	1	1	1	-7.6530612244898	4	Dengkil, Selangor, Malaysia	MY	MY12	18585	2.86	101.681	11058587	0								4	Dengkil, Selangor, Malaysia	MY	MY12	18585	2.86	101.681	11058587	20200205053000	https://www.freemalaysiatoday.com/category/nation/2020/02/05/drug-and-gambling-probe-involving-dengkil-rep-being-completed/
903847437	20200106	202001	2020	2020.0164	MYS	KUALA LUMPUR	MYS								SAUGOV	ABDULLAH	SAU					GOV			1	190	190	19	4	-10.0	7	1	7	-7.6530612244898	4	Dengkil, Selangor, Malaysia	MY	MY12	18585	2.86	101.681	11058587	4	Dengkil, Selangor, Malaysia	MY	MY12	18585	2.86	101.681	11058587	4	Dengkil, Selangor, Malaysia	MY	MY12	18585	2.86	101.681	11058587	20200205053000	https://www.freemalaysiatoday.com/category/nation/2020/02/05/drug-and-gambling-probe-involving-dengkil-rep-being-completed/
903847438	20200106	202001	2020	2020.0164	USA	UNITED STATES	USA																		1	036	036	03	1	4.0	3	1	3	0.67340067340067	3	Mcadenville, North Carolina, United States	US	USNC	NC071	35.2593	-81.0754	1021377	0								3	Mcadenville, North Carolina, United States	US	USNC	NC071	35.2593	-81.0754	1021377	20200205053000	https://www.huffpost.com/entry/mcadenville-north-carolina-christmas-town_n_5dfa6ab0e4b0eb2264d2e625
903847439	20200106	202001	2020	2020.0164	USA	UNITED STATES	USA								CVL	RESIDENTS						CVL			1	036	036	03	1	4.0	4	1	4	0.67340067340067	3	Mcadenville, North Carolina, United States	US	USNC	NC071	35.2593	-81.0754	1021377	3	Mcadenville, North Carolina, United States	US	USNC	NC071	35.2593	-81.0754	1021377	3	Mcadenville, North Carolina, United States	US	USNC	NC071	35.2593	-81.0754	1021377	20200205053000	https://www.huffpost.com/entry/mcadenville-north-carolina-christmas-town_n_5dfa6ab0e4b0eb2264d2e625
903847440	20200106	202001	2020	2020.0164	USA	UNITED STATES	USA								GOV	ATTORNEY GENERAL						GOV			0	012	012	01	1	-0.4	2	1	2	-2.90909090909091	3	Horry County, South Carolina, United States	US	USSC	SC051	33.9168	-78.9831	1248005	3	City Of Columbia, South Carolina, United States	US	USSC		34.0364	-80.9025	2404107	3	Horry County, South Carolina, United States	US	USSC		33.9168	-78.9831	1248005	20200205053000	https://www.myhorrynews.com/news/local/horry_county/horry-county-s-second-amendment-sanctuary-proposal-receives-initial-approval/article_24cd3644-47d3-11ea-9da8-cf6b32309261.html
903847441	20200106	202001	2020	2020.0164	USA	UNITED STATES	USA								USAGOV	UNITED STATES	USA					GOV			0	012	012	01	1	-0.4	2	1	2	-2.90909090909091	3	Horry County, South Carolina, United States	US	USSC	SC051	33.9168	-78.9831	1248005	3	City Of Columbia, South Carolina, United States	US	USSC		34.0364	-80.9025	2404107	3	Horry County, South Carolina, United States	US	USSC		33.9168	-78.9831	1248005	20200205053000	https://www.myhorrynews.com/news/local/horry_county/horry-county-s-second-amendment-sanctuary-proposal-receives-initial-approval/article_24cd3644-47d3-11ea-9da8-cf6b32309261.html
