GlobalEventID	Day	MonthYear	Year	FractionDate	Actor1Code	Actor1Name	Actor1CountryCode	Actor1KnownGroupCode	Actor1EthnicCode	Actor1Religion1Code	Actor1Religion2Code	Actor1Type1Code	Actor1Type2Code	Actor1Type3Code	Actor2Code	Actor2Name	Actor2CountryCode	Actor2KnownGroupCode	Actor2EthnicCode	Actor2Religion1Code	Actor2Religion2Code	Actor2Type1Code	Actor2Type2Code	Actor2Type3Code	IsRootEvent	EventCode	EventBaseCode	EventRootCode	QuadClass	GoldsteinScale	NumMentions	NumSources	NumArticles	AvgTone	Actor1Geo_Type	Actor1Geo_Fullname	Actor1Geo_CountryCode	Actor1Geo_ADM1Code	Actor1Geo_ADM2Code	Actor1Geo_Lat	Actor1Geo_Long	Actor1Geo_FeatureID	Actor2Geo_Type	Actor2Geo_Fullname	Actor2Geo_CountryCode	Actor2Geo_ADM1Code	Actor2Geo_ADM2Code	Actor2Geo_Lat	Actor2Geo_Long	Actor2Geo_FeatureID	ActionGeo_Type	ActionGeo_Fullname	ActionGeo_CountryCode	ActionGeo_ADM1Code	ActionGeo_ADM2Code	ActionGeo_Lat	ActionGeo_Long	ActionGeo_FeatureID	Dateadded	Sourceurl

904208258	20100208	201002	2010	2010.1041	IRQ	IRAQ	IRQ								CVL	POPULATION						CVL			0	120	120	12	3	-4.0	10	1	10	-6.26304801670147	4	Baghdad, Baghdad, Iraq	IZ	IZ07	36785	33.3386	44.3939	-3103581	4	Baghdad, Baghdad, Iraq	IZ	IZ07	36785	33.3386	44.3939	-3103581	4	Baghdad, Baghdad, Iraq	IZ	IZ07	36785	33.3386	44.3939	-3103581	20200206143000	https://www.lawfareblog.com/irresistible-resiliency-iraqs-protesters
904208259	20190206	201902	2019	2019.0986	BUS	BUSINESS						BUS													0	073	073	07	2	7.4	10	1	10	4.50450450450451	1	South Africa	SF	SF		-30	26	SF	0								1	South Africa	SF	SF		-30	26	SF	20200206143000	http://www.702.co.za/articles/374178/placing-sa-express-under-business-rescue-good-for-employees-solidarity
904208260	20190206	201902	2019	2019.0986	CHN	CHINESE	CHN								GOV	ADMINISTRATION						GOV			0	172	172	17	4	-5.0	1	1	1	-2.77078085642317	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	1	China	CH	CH		35	105	CH	20200206143000	https://www.citmagazine.com/article/1672451/weaponisation-travel-explained
904208261	20190206	201902	2019	2019.0986	CHN	CHINESE	CHN								USAMIL	THE US	USA					MIL			1	040	040	04	1	1.0	4	1	4	-1.68918918918919	4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	20200206143000	https://www.msn.com/en-us/finance/markets/10-things-you-need-to-know-before-the-opening-bell/ar-BBZIk1p
904208262	20190206	201902	2019	2019.0986	CHNMED	CHINESE	CHN					MED			USAMIL	THE US	USA					MIL			1	040	040	04	1	1.0	1	1	1	-1.68918918918919	4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	4	Wuhan, Hubei, China	CH	CH12	13124	30.5833	114.267	-1930776	20200206143000	https://www.msn.com/en-us/finance/markets/10-things-you-need-to-know-before-the-opening-bell/ar-BBZIk1p
904208263	20190206	201902	2019	2019.0986	CHNMED	CHINESE	CHN					MED			USAMIL	THE US	USA					MIL			1	040	040	04	1	1.0	1	1	1	-1.68918918918919	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	1	United States	US	US		39.828175	-98.5795	US	20200206143000	https://www.msn.com/en-us/finance/markets/10-things-you-need-to-know-before-the-opening-bell/ar-BBZIk1p
904208264	20190206	201902	2019	2019.0986	COP	DEPUTY						COP													0	153	153	15	4	-7.2	6	1	6	2.5879917184265	4	Shiv, Rajasthan, India	IN	IN24	17848	26.1833	71.25	-2111141	0								4	Shiv, Rajasthan, India	IN	IN24	17848	26.1833	71.25	-2111141	20200206143000	https://gulfnews.com/world/asia/pakistan/pakistan-prepares-to-hold-a-major-hindu-festival--maha-shivartari-from-february-20-1.69531510
904208265	20190206	201902	2019	2019.0986	COP	DEPUTY						COP			PAK	PAKISTAN	PAK								0	153	153	15	4	-7.2	2	1	2	2.5879917184265	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Islamabad, Islamabad, Pakistan	PK	PK08	23674	33.7	73.1667	-2762812	4	Manshera, Punjab, Pakistan	PK	PK04	23676	31.8816	72.6305	-2768566	20200206143000	https://gulfnews.com/world/asia/pakistan/pakistan-prepares-to-hold-a-major-hindu-festival--maha-shivartari-from-february-20-1.69531510
904208266	20190206	201902	2019	2019.0986	COP	DEPUTY						COP			PAK	PAKISTAN	PAK								0	153	153	15	4	-7.2	2	1	2	2.5879917184265	4	Manshera, Punjab, Pakistan	PK	PK04	23676	31.8816	72.6305	-2768566	4	Manshera, Punjab, Pakistan	PK	PK04	23676	31.8816	72.6305	-2768566	4	Manshera, Punjab, Pakistan	PK	PK04	23676	31.8816	72.6305	-2768566	20200206143000	https://gulfnews.com/world/asia/pakistan/pakistan-prepares-to-hold-a-major-hindu-festival--maha-shivartari-from-february-20-1.69531510
